takeoff_name,takeoff_lat,takeoff_lon,elevation,telegram_group_name,telegram_group_link,exclude,notes,site_guide
Blorenge,51.80443,-3.0512,502.25,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Blua Crags,54.069315,-2.26176,370.08,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,
Bo Peep,50.82066,0.1285,170.35,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Bodesbeck Law,55.37974,-3.314925,612.37,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,http://www.wingbeat-paragliding.co.uk/index.php/sites/bodesbeck
Bow Scale Tarn,54.67045,-3.0308,587.29,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Bowfell,54.4572,-3.1781,860.88,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Bradwell,53.321,-1.73005,364.13,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/bradwell
Braemore Junction,57.76404,-4.99636,591.49,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Brant Side,54.2758,-2.3437,505,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Bratton,51.26413,-2.14507,207.26,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Bridlington,54.0955,-0.17363,15.92,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,https://cayleyparagliding.co.uk/paragliding-bridlington/
Brighstone,50.65169,-1.38317,193.17,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Brigsteer,54.29617,-2.79064,116.17,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BRG
Broadlee Bank,53.37,-1.83582,510.75,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/broadlee-bank/
Broughton Heights,55.66144,-3.40388,484.9,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Brownber Hill,54.648575,-2.45711,507.68,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Bruthac Nan Uamh,57.1652,-4.99246,436.8,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Bryn Banog,52.98795,-4.12414,471.76,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Bryncaws,51.71236,-3.78954,359.12,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Buck Of Cabrach,57.29813,-2.97968,677.15,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Bunster,53.06035,-1.791695,303.05,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://www.paraguide.uk/guides/Bunster.pdf
Burger Van,56.430315,-4.324195,535.04,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Burn Fell,53.97338,-2.49325,377.92,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Burnbank,54.57997,-3.37201,405.43,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNB
Burney,54.26124,-3.13794,243.2,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BNF
Butser West,50.97682,-0.98785,237.08,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,http://skysurfingclub.co.uk/sites-guide/
Buttermere Moss,54.542225,-3.257675,509.52,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=BTM
Cacra,55.4435,-3.07375,443.17,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,http://www.wingbeat-paragliding.co.uk/index.php/sites/cacra-bank
Cairn An Righ,56.87479,-3.610235,889.76,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Cairn O Mount,56.914,-2.575745,420.1,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Cairn Vaich,57.179775,-3.266205,720.16,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Cairngorm,57.11905,-3.64523,1200.34,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Cairnwell,56.87667,-3.42092,863.86,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Camlo,52.32208,-3.42097,440.86,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Campsie Fells,55.992965,-4.218045,302.85,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Captain Cooks,54.48282,-1.09143,322.04,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Cardon Hill,55.57002,-3.48178,619.28,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Carlton Bank,54.4155,-1.20225,383.38,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Carn Ban,57.42762,-4.78808,507.36,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carn Brea,50.221315,-5.2496,202.26,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Carn Dubh,57.00037,-4.44227,720.51,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carn Ghluasaid,57.15604,-5.075125,613.23,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carn Liath,56.80353,-3.74793,850.38,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carn Moine,57.0533,-3.27857,576.48,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Carn Na Caim,56.9202,-4.183075,759.35,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carn Nam Feuaich,57.166375,-5.017715,701.37,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Carrock Fell,54.69762,-3.015975,445.79,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CRF
Catacol,55.69668,-5.31787,196.61,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Catbells,54.57328,-3.16953,311.94,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Cats Tor,53.28013,-2.00997,503.24,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/cats-tor/
Cautley,54.37131,-2.481585,254.27,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Chalton,50.929515,-0.954245,118.1,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,
Charmouth,50.733045,-2.89324,23.56,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Cherhill,51.42457,-1.93176,203.7,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,
Chillerton,50.647735,-1.32695,142.39,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Chinkwell Tor,50.588645,-3.797265,440.51,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://sdhgpc.org.uk/sites/chinkwell
Chinnor,51.69957,-0.89113,225.66,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,,,https://dunstablehpc.com/site-guides/chinnor-site-guide/
Choinneachain Hill,56.42272,-3.91312,474.52,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Clatter,52.557375,-3.469925,383.91,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,
Clough Head,54.5974,-3.04325,442.43,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CLH
Cock Up,54.673275,-3.15,491.1,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Cocking Tor,53.1431,-1.48246,280.46,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/cocking-tor/
Codden Hill,51.04903,-4.02324,178.11,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://ndhpc.co.uk/sites_guide/codden_hill_guide
Cogden,50.694735,-2.717035,26.69,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Coiliochbhar,57.23063,-2.81837,493.39,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Coire Nan Cisteachan,56.89856,-4.20522,866.06,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Combe Gibbet,51.35858,-1.480475,266.48,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,https://www.tvhgc.co.uk/combe-gibbet
Compton Reds,50.662695,-1.473465,43.34,Isle of Wight,https://t.me/joinchat/tSmGEGKwsGpkMTg0,,,https://flywight.extremelynice.net/wp/wp-content/uploads/2017/03/iowhgpc-sites-guide_2019_03.pdf
Coniston Old Man,54.36845,-3.11632,634.91,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=COM
Corn Ridge,50.68646,-4.04919,475.57,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,https://sdhgpc.org.uk/sites/corn-ridge
Corndon,52.56568,-3.02,478.68,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,http://www.longmynd.org/?page_id=272
Corney Fell,54.32188,-3.32382,439.16,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=CNF
Corton Denham,51.007525,-2.524,149.71,West,https://t.me/joinchat/xxEzm4aeX6dhNTJk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Cotterside,54.3376,-2.29659,468.03,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Cow Close Fell,54.15457,-2.17244,547.52,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/cow-close-fell
Cowden,53.863075,-0.12186,15.42,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Cowdown,50.797005,-2.51357,198.97,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,http://www.wessexhgpg.org.uk/Sites/Siteguide/FullSiteGuide.pdf
Cowlod,52.26499,-3.23585,461.62,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,https://paraglidingwales.co.uk/cowlod/
Crag Hill,54.571785,-3.24955,816.67,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Cragdale Moor,54.24274,-2.149665,592.38,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Craig Hulich,56.518175,-3.799075,527.85,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Craigellachie,57.189015,-3.85102,448.58,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Craiglich,57.136735,-2.77367,460.51,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Creag An Earbaill,57.29197,-5.55068,319.35,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Dhubh,57.10048,-4.10193,665.64,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Ghleannain,57.17835,-3.889825,549.81,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Meagaidh,56.95488,-4.533125,628.66,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Meageaidh,56.9712,-4.51507,762.31,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Mhigeachaidh,57.099135,-3.865565,675.91,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creag Na Caillich,56.494375,-4.346695,462.2,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Creag Nan Gabhar,56.93675,-3.40203,724.4,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Creag Ruadh,57.5474,-4.86833,431.3,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Creagan Gorm,57.187535,-3.695015,697.81,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Cringle,54.42112,-1.17202,398.25,North East,https://t.me/joinchat/1uCqybLRETIyNTRk,,,
Cross Fell,54.70137,-2.52788,485.92,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Curbar,53.2694,-1.61147,305.11,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/curbar/
Cwmafan,51.62673,-3.76633,299.03,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Cwmbran,51.67538,-3.05492,423.55,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Cyrniau,52.81572,-3.40228,410.43,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
Dale Head,54.52678,-3.20282,736.72,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,https://derbyshiresoaringclub.org.uk/site-guide/dale-head/
Dalefoot,54.43709,-2.33715,272.06,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,
Dalwhinnie,56.8977,-4.20859,813.02,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Deepdale,54.23792,-2.4133,451.23,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,TRUE,Active Edge school site,
Devils Dyke,50.88575,-0.21312,203.06,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Devonshaw Hill,55.541055,-3.649395,356.85,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Didling Hill,50.953315,-0.821375,215.63,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,
Ditchling,50.901035,-0.103435,210.58,South East,https://t.me/joinchat/GOaWSlE5YAswZjc0,,,https://shgc.org.uk/siteguidepdf
Dodd Fell,54.24897,-2.26377,554.07,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,https://www.dhpc.org.uk/site-guide/dodd-fell-grove-head
Dollar,56.17331,-3.68507,331.7,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Drumochter,56.8679,-4.21493,896.97,Highlands,https://t.me/joinchat/gx0JDL-JdONiMGZk,,,
Dumyat,56.1543,-3.88057,343.81,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Dungavel,55.55825,-3.68532,434.2,Borders,https://t.me/joinchat/gQNkjnuA51IwOTg0,,,
Dunstable,51.869975,-0.53799,211.29,Dunstable,https://t.me/+zpCRlLWf29RmNTRk,,,https://dunstablehpc.com/site-guides/dunstable-downs-site-guide/
East Hill,53.081195,-2.603665,71.91,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,
East Lomond,56.2422,-3.221405,435.8,South Scotland & Grampian,https://t.me/joinchat/WLIel5HDs6ViOThk,,,
Ebbw Vale,51.7524,-3.20664,458.56,South Wales,https://t.me/joinchat/ksosguoLjyI0ZGFk,,,
Ecton,53.11943,-1.8514,349.28,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Edenfield,53.65658,-2.27196,378.89,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/edenfield/
Edge Top,53.18847,-1.9191,400.95,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,
Elan Valley,52.33142,-3.60265,449.57,Mid Wales & Mynd,https://t.me/joinchat/RuC0kVJ1ygY2OTY8,,,Members Only
Elidir Fach,53.13093,-4.09171,694.41,North Wales,https://t.me/joinchat/tP6m0r9gNJJmOTM8,,,https://www.snowdoniaskysports.co.uk/cms/node/8
Ellerside,54.21653,-2.99003,143.61,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,http://www.cumbriasoaringclub.co.uk/SiteManagement/CSC_Specific_Site.php?site=ELS
Ennerdale,54.52008,-3.3957,322.45,Lakes,https://t.me/joinchat/nexjPNs95rY4Yzk8,,,
Eyam,53.29617,-1.69618,379.36,Central,https://t.me/joinchat/5iHr6hnc-gI4MDg0,,,https://derbyshiresoaringclub.org.uk/site-guide/eyam-edge
Eype,50.71583,-2.77895,59.3,South West,https://t.me/joinchat/yg6UPwjHlFNhOGVk,,,
Fairsnape,53.91597,-2.62577,494.43,Pennines & Dales,https://t.me/joinchat/NcCY7NcPJ3lkMTZk,,,http://www.penninesoaringclub.org.uk/sites/parlick/
